Sample in Buffer,Sample in Window,TRIGGER,capture_addr[16:0],capture_data[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
530,530,0,0aa00,122
531,531,0,0aa00,122
532,532,0,0aa00,122
533,533,0,0aa00,122
534,534,0,0aa00,122
535,535,0,0aa00,122
536,536,0,0aa00,122
537,537,0,0aa00,122
538,538,0,0aa00,122
539,539,0,0aa00,122
540,540,0,0aa00,122
541,541,0,0aa00,122
542,542,0,0aa00,122
543,543,0,0aa00,122
544,544,0,0aa00,122
545,545,0,0aa00,122
546,546,0,0aa00,122
547,547,0,0aa00,122
548,548,0,0aa00,122
549,549,0,0aa00,122
550,550,0,0aa00,122
551,551,0,0aa00,122
552,552,0,0aa00,122
553,553,0,0aa00,122
554,554,0,0aa00,122
555,555,0,0aa00,122
556,556,0,0aa00,122
557,557,0,0aa00,122
558,558,0,0aa00,122
559,559,0,0aa00,122
560,560,0,0aa00,122
561,561,0,0aa00,122
562,562,0,0aa00,122
563,563,0,0aa00,122
564,564,0,0aa00,122
565,565,0,0aa00,122
566,566,0,0aa00,122
567,567,0,0aa00,122
568,568,0,0aa00,122
569,569,0,0aa00,122
570,570,0,0aa00,122
571,571,0,0aa00,122
572,572,0,0aa00,122
573,573,0,0aa00,122
574,574,0,0aa00,122
575,575,0,0aa00,122
576,576,0,0aa00,122
577,577,0,0aa00,122
578,578,0,0aa00,122
579,579,0,0aa00,122
580,580,0,0aa00,122
581,581,0,0aa00,122
582,582,0,0aa00,122
583,583,0,0aa00,122
584,584,0,0aa00,122
585,585,0,0aa00,122
586,586,0,0aa00,122
587,587,0,0aa00,122
588,588,0,0aa00,122
589,589,0,0aa00,122
590,590,0,0aa00,122
591,591,0,0aa00,122
592,592,0,0aa00,122
593,593,0,0aa00,122
594,594,0,0aa00,122
595,595,0,0aa00,122
596,596,0,0aa00,122
597,597,0,0aa00,122
598,598,0,0aa00,122
599,599,0,0aa00,122
600,600,0,0aa00,122
601,601,0,0aa00,122
602,602,0,0aa00,122
603,603,0,0aa00,122
604,604,0,0aa00,122
605,605,0,0aa00,122
606,606,0,0aa00,122
607,607,0,0aa00,122
608,608,0,0aa00,122
609,609,0,0aa00,122
610,610,0,0aa00,122
611,611,0,0aa00,122
612,612,0,0aa00,122
613,613,0,0aa00,122
614,614,0,0aa00,122
615,615,0,0aa00,122
616,616,0,0aa00,122
617,617,0,0aa00,122
618,618,0,0aa00,122
619,619,0,0aa00,122
620,620,0,0aa00,122
621,621,0,0aa00,122
622,622,0,0aa00,122
623,623,0,0aa00,122
624,624,0,0aa00,122
625,625,0,0aa00,122
626,626,0,0aa00,122
627,627,0,0aa00,122
628,628,0,0aa00,122
629,629,0,0aa00,122
630,630,0,0aa00,122
631,631,0,0aa00,122
632,632,0,0aa00,122
633,633,0,0aa00,122
634,634,0,0aa00,122
635,635,0,0aa00,122
636,636,0,0aa00,122
637,637,0,0aa00,122
638,638,0,0aa00,122
639,639,0,0aa00,122
640,640,0,0aa00,122
641,641,0,0aa00,122
642,642,0,0aa00,122
643,643,0,0aa00,122
644,644,0,0aa00,122
645,645,0,0aa00,122
646,646,0,0aa00,122
647,647,0,0aa00,122
648,648,0,0aa00,122
649,649,0,0aa00,122
650,650,0,0aa00,122
651,651,0,0aa00,122
652,652,0,0aa00,122
653,653,0,0aa00,122
654,654,0,0aa00,122
655,655,0,0aa00,122
656,656,0,0aa00,122
657,657,0,0aa00,122
658,658,0,0aa00,122
659,659,0,0aa00,122
660,660,0,0aa00,122
661,661,0,0aa00,122
662,662,0,0aa00,122
663,663,0,0aa00,122
664,664,0,0aa00,122
665,665,0,0aa00,122
666,666,0,0aa00,122
667,667,0,0aa00,122
668,668,0,0aa00,122
669,669,0,0aa00,122
670,670,0,0aa00,122
671,671,0,0aa00,122
672,672,0,0aa00,122
673,673,0,0aa00,122
674,674,0,0aa00,122
675,675,0,0aa00,122
676,676,0,0aa00,122
677,677,0,0aa00,122
678,678,0,0aa00,122
679,679,0,0aa00,122
680,680,0,0aa00,122
681,681,0,0aa00,122
682,682,0,0aa00,122
683,683,0,0aa00,122
684,684,0,0aa00,122
685,685,0,0aa00,122
686,686,0,0aa00,122
687,687,0,0aa00,122
688,688,0,0aa00,122
689,689,0,0aa00,122
690,690,0,0aa00,122
691,691,0,0aa00,122
692,692,0,0aa00,122
693,693,0,0aa00,122
694,694,0,0aa00,122
695,695,0,0aa00,122
696,696,0,0aa00,122
697,697,0,0aa00,122
698,698,0,0aa00,122
699,699,0,0aa00,122
700,700,0,0aa00,122
701,701,0,0aa00,122
702,702,0,0aa00,122
703,703,0,0aa00,122
704,704,0,0aa00,122
705,705,0,0aa00,122
706,706,0,0aa00,122
707,707,0,0aa00,122
708,708,0,0aa00,122
709,709,0,0aa00,122
710,710,0,0aa00,122
711,711,0,0aa00,122
712,712,0,0aa00,122
713,713,0,0aa00,122
714,714,0,0aa00,122
715,715,0,0aa00,122
716,716,0,0aa00,122
717,717,0,0aa00,122
718,718,0,0aa00,122
719,719,0,0aa00,122
720,720,0,0aa00,122
721,721,0,0aa00,122
722,722,0,0aa00,122
